"2015-11-19 04:11:30.271316","23.0","73.4","35.0"
"2015-11-19 04:58:53.734409","23.0","73.4","35.0","0.16277778148651123"
"2015-11-19 23:54:26.282120","23.0","73.4","35.0","0.12055555731058121"
"2015-03-03 22:33:03.816639","23.0","73.4","35.0","0.11055555194616318"
"2015-03-03 22:37:08.597675","23.0","73.4","35.0","0.1111111119389534"
"2015-11-20 03:38:08.253217","35.0","95.0","27.0","0.11277777701616287"
"2015-11-20 04:02:20.870127","23.0","73.4","35.0","0.11222222447395325"
"2015-11-20 04:02:24.135605","23.0","73.4","35.0","0.1111111119389534"
"2015-11-20 04:02:25.923124","23.0","73.4","35.0","0.1111111119389534"
"2015-11-20 04:02:27.449733","23.0","73.4","35.0","0.11166666448116302"
"2015-11-20 04:02:34.128752","23.0","73.4","35.0","0.1111111119389534"
"2015-12-08 05:26:40.695583","22.0","71.6","42.0","0.2616666555404663"
"2015-12-16 02:21:11.865993","24.0","75.2","37.0","0.27166667580604553"
"2015-12-16 03:31:40.795778","24.0","75.2","36.0","0.0833333358168602"
"2015-12-16 04:16:12.458629","23.0","73.4","36.0","0.34166666865348816"
